ID,Type,UGS,Nom,Publié,"Mis en avant ?","Visibilité dans le catalogue","Description courte",Description,"Date de début de promo","Date de fin de promo","État de la TVA","Classe de TVA","En stock ?",Stock,"Montant de stock faible","Autoriser les commandes de produits en rupture ?","Vendre individuellement ?","Poids (kg)","Longueur (cm)","Largeur (cm)","Hauteur (cm)","Autoriser les avis clients ?","Note de commande","Tarif promo","Tarif régulier",Catégories,Étiquettes,"Classe d’expédition",Images,"Limite de téléchargement","Jours d’expiration du téléchargement",Parent,"Groupes de produits","Produits suggérés","Ventes croisées","URL externe","Libellé du bouton",Position
176,simple,,"Agent secret de churchill",1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,3,,,,,,,,,,,,,,0
21697,simple,,"Pas de traces !",1,0,visible,,"<p>Éric de L'Estoile, 2009</p>\n<p>405 pages</p>\n<p>Dans un coin tranquille de Normandie, des hommes s'entretuent, des ressortissants étrangers disparaissent, des cadavres tatoués de signes mystérieux jonchent le sol.<br />\nLe commissaire Djamel Khalen, ancien membre du Service central de répression du banditisme, muté depuis peu à Rouen dans d'obscures circonstances, hérite de l'affaire et se lance à la poursuite d'un dangereux tueur : Erwan Caluet.</p>\n<p>&nbsp;</p>",,,taxable,,1,,,0,0,,,,,0,,,,"Non classé",,,,,,,,,,,,0
21707,simple,11393,"Navigations en écriture",1,0,visible,,"Dominique LENOURY,  2011",,,taxable,,1,,,0,0,,,,,1,,,,Autobiographies-Mémoires,,,,,,,,,,,,0
21708,simple,11197,"Le livre des secrets",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,NULL,,,,,,,,,,,,0
21709,simple,11110,"La maladie d'Alzheimer",1,0,visible,,"<p>Jacques SELMES,<br />Sous-titre:  Accompagner votre proche au quotidien.<br />Ce livre n'a pas été lu dans</p>",,,taxable,,1,,,0,0,,,,,1,,,,NULL,,,,,,,,,,,,0
21710,simple,11767,"Staline 1878-1953 : Mensonges et mirages",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,NULL,,,,,,,,,,,,0
21711,simple,11857,"Deux gouttes d'eau",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,NULL,,,,,,,,,,,,0
21712,simple,12104,"Mon heure de gloire",1,0,visible,,"François LAMIRAUD,",,,taxable,,1,,,0,0,,,,,1,,,,NULL,,,,,,,,,,,,0
21713,simple,12169,"Les dents de la mer,  Tome 2",1,0,visible,,"Hank SEARLS,\nDeux ans après les ""événements"", Amity est redevenue une cité paisible, une si jolie petite plage. Et pourtant un spectre vague continue de hanter le subconscient de chacun...",,,taxable,,1,,,0,0,,,,,1,,,,NULL,,,,,,,,,,,,0
21714,simple,12635,"Scarlett,  Tome I,  II et III",1,0,visible,,"Alexandra RIPLEY,\nQue sont devenus",,,taxable,,1,,,0,0,,,,,1,,,,NULL,,,,,,,,,,,,0
21715,simple,12649,L'absente,1,0,visible,,"Lionel DUROY,",,,taxable,,1,,,0,0,,,,,1,,,,NULL,,,,,,,,,,,,0
21716,simple,12692,"Le doigt et la lune",1,0,visible,,"Alejandro JODOROWSKY,",,,taxable,,1,,,0,0,,,,,1,,,,NULL,,,,,,,,,,,,0
21717,simple,12721,"Guide des curieux de nature en ville",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,NULL,,,,,,,,,,,,0
21718,simple,12766,"Heidi,  réveille toi!",1,0,visible,,"Robert SALMON et Christopher H. CORDEY,",,,taxable,,1,,,0,0,,,,,1,,,,NULL,,,,,,,,,,,,0
21719,simple,12778,"Histoire de France,  Tome 7: La Renaissance",1,0,visible,,"Jules MICHELET,",,,taxable,,1,,,0,0,,,,,1,,,,Autobiographies-Mémoires,,,,,,,,,,,,0
21720,simple,12960,"Principes de la philosophie du droit",1,0,visible,,"Georg Wilhelm Friedrich HEGEL,  1820 (traduction 2013)",,,taxable,,1,,,0,0,,,,,1,,,,NULL,,,,,,,,,,,,0
21721,simple,12969,"Une initiation:  Rwanda,  1994-2016",1,0,visible,,"<h6 class=""participant-illu participant-auteur theme005"">Sté</h6>\n<h5 class=""participant-illu participant-auteur theme005""></h5>\n<h2 class=""participant-illu participant-auteur theme005""></h2>\n<h2 class=""participant-illu participant-auteur theme005""></h2>",,,taxable,,1,,,0,0,,,,,1,,,,Autobiographies-Mémoires,,,,,,,,,,,,0
21722,simple,13368,"En 1914,  j'avais",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,NULL,,,,,,,,,,,,0
21723,simple,13738,"Les huiles essentielles:  Médecine d'avenir",1,0,visible,,"Jean-Pierre WILLEM, 2002\nNous avons à notre disposition une vaste gamme de molécules aromatiques capables d'enrayer les infections bactériennes et virales, de relancer les défenses naturelles (immunitaires), de soulager les petits maux de la vie quotidienne et d'être utile pour les soins du corps.",,,taxable,,1,,,0,0,,,,,1,,,,NULL,,,,,,,,,,,,0
21724,simple,14262,"Les 33 prières miraculeuses",1,0,visible,,"Jules SPERBER,  1995\n<span class=""pvi-product-subtitle"">Prières réunies à la gloire du Saint Nom de Dieu et extraites des Saints Livres</span>\n<div class=""pvi-product-scactions"" data-rel=""sc-rating"" data-sc-product-id=""12458049"" data-format-count=""0"" data-format-list="""" data-format-id=""""></div>",,,taxable,,1,,,0,0,,,,,1,,,,NULL,,,,,,,,,,,,0
21725,simple,14355,"Le Chant du bienheureux: La Bhagavad-Gîtâ",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,NULL,,,,,,,,,,,,0
21726,simple,15067,"Insurgés et visionnaires d'Amérique Latine",1,0,visible,,"Arturo USLAR PIETRI,  1986, ed. française 1995\nA la veille du 5",,,taxable,,1,,,0,0,,,,,1,,,,NULL,,,,,,,,,,,,0
21727,simple,15728,"Le livre secret de Jeshua,  Tome 2",1,0,visible,,"<p>Daniel MEUROIS,  2016<br />Sous-titre: La vie cachée de Jésus selon la Mémoire du Temps<br />La restitution de la vie intégrale du Christ Jésus par la consultation détaillée de la Mémoire Akashique.  Nous partageons le regard de Jeshua - Jésus - sur les trente premières années de sa vie: sa petite enfance dans le delta du Nil,   ses études au monastère essénien du Krmel jusqu'à ce voyage de dix-sept années  en Himalaya pour regagner l'Égypte et y être investi par le Souffle christique au cœur de la Grande Pyramide.</p>",,,taxable,,1,,,0,0,,,,,1,,,,NULL,,,,,,,,,,,,0
21728,simple,16146,"Face aux ruptures de vie",1,0,visible,,"<p>VITTOZ IRDC,  2009<br />Sous-titre: La méthode Vittoz,  une réponse possible</p>",,,taxable,,1,,,0,0,,,,,1,,,,Autobiographies-Mémoires,,,,,,,,,,,,0
21729,simple,16710,William,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,Autobiographies-Mémoires,,,,,,,,,,,,0
21730,simple,17242,"L’impossible est un bon début",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,Autobiographies-Mémoires,,,,,,,,,,,,0
